,구분,회사명,특약명,가입조건,판매채널,적용담보(자동차상해 및담보별 확장특약 포함기준),할인율(%)ascdesc
0,자녀할인,메리츠화재,자녀(만7세이하) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아 ~ 만7세② 운전자범위/연령한정 한정특약 조건 : 부부/기명 1인 한정운전 특별약관 가입,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,7
1,자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",24.4
2,자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 미대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",20.1
3,자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만0세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",20.6
4,자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만0세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 미대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",16.1
5,자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만1세~만4세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",12
6,자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만1세~만4세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정③ 다자녀(2명이상)조건 : 미대상","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",7
7,자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 만5세~만10세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",8
8,자녀할인,한화손보,자녀할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀(태아) 연령조건 : 태아~만1세② 운전자범위/연령한정 한정특약 조건 : 부부한정,1인한정 외 운전자한정특약","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",4
9,자녀할인,롯데손보,자녀할인특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 자녀가 태아인 경우② 부부한정 또는 1인한정 가입,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,10
